,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
7789,597826,70B3D500700016F6,1588978539920,hi3,2020-05-09 00:55:40.099451,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,26 cm,3580 mV,20 C,0 Degree,133 Times,
7788,598314,70B3D500700016F6,1588985739503,hi3,2020-05-09 02:55:39.674995,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,26 cm,3580 mV,19 C,1 Degree,135 Times,
7787,598559,70B3D500700016F6,1588989339314,hi3,2020-05-09 03:55:39.484016,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,26 cm,3570 mV,16 C,1 Degree,136 Times,
7786,598824,70B3D500700016F6,1588992939105,hi3,2020-05-09 04:55:39.274142,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,26 cm,3570 mV,17 C,0 Degree,137 Times,
7785,599084,70B3D500700016F6,1588996538916,hi3,2020-05-09 05:55:39.079391,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,26 cm,3570 mV,14 C,1 Degree,138 Times,
7784,599335,70B3D500700016F6,1589000138707,hi3,2020-05-09 06:55:38.885832,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,26 cm,3570 mV,18 C,0 Degree,139 Times,
7783,599592,70B3D500700016F6,1589003738519,hi3,2020-05-09 07:55:38.677515,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,26 cm,3580 mV,18 C,0 Degree,140 Times,
7782,599831,70B3D500700016F6,1589007338310,hi3,2020-05-09 08:55:38.461893,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,20 cm,3590 mV,17 C,0 Degree,141 Times,
7781,600088,70B3D500700016F6,1589010938101,hi3,2020-05-09 09:55:38.249338,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,20 cm,3590 mV,19 C,1 Degree,142 Times,
7780,600336,70B3D500700016F6,1589014537892,hi3,2020-05-09 10:55:38.041188,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,18 cm,3600 mV,25 C,2 Degree,143 Times,
7779,600821,70B3D500700016F6,1589021737654,hi3,2020-05-09 12:55:37.792887,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,62 cm,3600 mV,20 C,0 Degree,145 Times,
7778,601312,70B3D500700016F6,1589028937256,hi3,2020-05-09 14:55:37.387896,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,62 cm,3600 mV,21 C,1 Degree,147 Times,
7777,602081,70B3D500700016F6,1589039736650,hi3,2020-05-09 17:55:36.772677,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,120 cm,3600 mV,18 C,1 Degree,150 Times,
7776,602354,70B3D500700016F6,1589043336441,hi3,2020-05-09 18:55:36.559137,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,64 cm,3600 mV,20 C,0 Degree,151 Times,
7775,602630,70B3D500700016F6,1589046937914,hi3,2020-05-09 19:55:38.088485,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,120 cm,3600 mV,20 C,1 Degree,152 Times,
7774,603375,70B3D500700016F6,1589057737287,hi3,2020-05-09 22:55:37.451656,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,122 cm,3590 mV,18 C,0 Degree,155 Times,
7773,604124,70B3D500700016F6,1589068516700,hi3,2020-05-10 01:55:16.853728,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,122 cm,3580 mV,17 C,1 Degree,158 Times,
7772,604376,70B3D500700016F6,1589072116511,hi3,2020-05-10 02:55:16.661368,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,122 cm,3580 mV,17 C,0 Degree,159 Times,
7771,604910,70B3D500700016F6,1589079316139,hi3,2020-05-10 04:55:16.281522,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,116 cm,3580 mV,16 C,0 Degree,161 Times,
7770,605191,70B3D500700016F6,1589082915945,hi3,2020-05-10 05:55:16.087048,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,122 cm,3570 mV,14 C,1 Degree,162 Times,
7769,605453,70B3D500700016F6,1589086515756,hi3,2020-05-10 06:55:15.891715,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,124 cm,3580 mV,16 C,0 Degree,163 Times,
7768,605711,70B3D500700016F6,1589090115567,hi3,2020-05-10 07:55:15.698387,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,118 cm,3590 mV,20 C,1 Degree,164 Times,
7767,605953,70B3D500700016F6,1589093715358,hi3,2020-05-10 08:55:15.486411,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,118 cm,3600 mV,19 C,1 Degree,165 Times,
7766,606209,70B3D500700016F6,1589097315130,hi3,2020-05-10 09:55:15.256565,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,62 cm,3610 mV,23 C,0 Degree,166 Times,
7765,606460,70B3D500700016F6,1589100914885,hi3,2020-05-10 10:55:15.008114,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,64 cm,3620 mV,25 C,0 Degree,167 Times,
7764,606719,70B3D500700016F6,1589104514652,hi3,2020-05-10 11:55:14.768778,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,64 cm,3630 mV,30 C,0 Degree,168 Times,
7763,606970,70B3D500700016F6,1589108114303,hi3,2020-05-10 12:55:14.419817,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,64 cm,3630 mV,26 C,0 Degree,169 Times,
7762,607234,70B3D500700016F6,1589111714234,hi3,2020-05-10 13:55:14.344383,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,128 cm,3640 mV,37 C,0 Degree,170 Times,
7761,607484,70B3D500700016F6,1589115314125,hi3,2020-05-10 14:55:14.231355,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,66 cm,3640 mV,42 C,0 Degree,171 Times,
7760,607739,70B3D500700016F6,1589118913956,hi3,2020-05-10 15:55:14.058147,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,118 cm,3640 mV,41 C,0 Degree,172 Times,
7759,607987,70B3D500700016F6,1589122513767,hi3,2020-05-10 16:55:13.866886,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,114 cm,3640 mV,34 C,0 Degree,173 Times,
7758,608240,70B3D500700016F6,1589126113498,hi3,2020-05-10 17:55:13.593724,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,114 cm,3630 mV,30 C,0 Degree,174 Times,
7757,608494,70B3D500700016F6,1589129713289,hi3,2020-05-10 18:55:13.381827,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,118 cm,3610 mV,28 C,0 Degree,175 Times,
7756,609021,70B3D500700016F6,1589136914573,hi3,2020-05-10 20:55:14.762614,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,114 cm,3590 mV,20 C,0 Degree,177 Times,
7755,609296,70B3D500700016F6,1589140514364,hi3,2020-05-10 21:55:14.548396,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,114 cm,3590 mV,20 C,1 Degree,178 Times,
7754,609564,70B3D500700016F6,1589144114155,hi3,2020-05-10 22:55:14.337834,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,116 cm,3580 mV,20 C,1 Degree,179 Times,
7753,610072,70B3D500700016F6,1589151313757,hi3,2020-05-11 00:55:13.930264,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,116 cm,3570 mV,16 C,1 Degree,181 Times,
7752,610329,70B3D500700016F6,1589154913548,hi3,2020-05-11 01:55:13.717411,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,116 cm,3570 mV,16 C,1 Degree,182 Times,
7751,610850,70B3D500700016F6,1589162113150,hi3,2020-05-11 03:55:13.312407,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,116 cm,3570 mV,16 C,0 Degree,184 Times,
7750,611118,70B3D500700016F6,1589165712961,hi3,2020-05-11 04:55:13.120771,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,118 cm,3570 mV,14 C,1 Degree,185 Times,
7749,611395,70B3D500700016F6,1589169312772,hi3,2020-05-11 05:55:12.933328,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,118 cm,3570 mV,16 C,1 Degree,186 Times,
7748,611666,70B3D500700016F6,1589172912603,hi3,2020-05-11 06:55:12.755527,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,116 cm,3560 mV,14 C,1 Degree,187 Times,
7747,611939,70B3D500700016F6,1589176512414,hi3,2020-05-11 07:55:12.562841,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,114 cm,3550 mV,16 C,0 Degree,188 Times,
7746,612200,70B3D500700016F6,1589180112246,hi3,2020-05-11 08:55:12.38996,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,114 cm,3550 mV,12 C,0 Degree,189 Times,
7745,612465,70B3D500700016F6,1589183712097,hi3,2020-05-11 09:55:12.236834,"['SS', 'Standalone', 'version_184']",700016f6,SENS_EVENT_MEASURE,114 cm,3550 mV,11 C,1 Degree,190 Times,
