,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
6974,597836,70B3D500700016FC,1588978566380,hi3,2020-05-09 00:56:06.559618,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3570 mV,15 C,2 Degree,160 Times,
6973,598070,70B3D500700016FC,1588982166191,hi3,2020-05-09 01:56:06.366297,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3560 mV,14 C,2 Degree,161 Times,
6972,598320,70B3D500700016FC,1588985765982,hi3,2020-05-09 02:56:06.154803,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3560 mV,15 C,2 Degree,162 Times,
6971,598569,70B3D500700016FC,1588989365773,hi3,2020-05-09 03:56:05.944773,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3560 mV,11 C,2 Degree,163 Times,
6970,598835,70B3D500700016FC,1588992965564,hi3,2020-05-09 04:56:05.730468,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3560 mV,11 C,3 Degree,164 Times,
6969,599096,70B3D500700016FC,1588996565392,hi3,2020-05-09 05:56:05.554247,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3560 mV,12 C,2 Degree,165 Times,
6968,599346,70B3D500700016FC,1589000165167,hi3,2020-05-09 06:56:05.32533,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3560 mV,11 C,2 Degree,166 Times,
6967,599598,70B3D500700016FC,1589003764962,hi3,2020-05-09 07:56:05.117643,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3570 mV,15 C,2 Degree,167 Times,
6966,599842,70B3D500700016FC,1589007364749,hi3,2020-05-09 08:56:04.900799,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3580 mV,14 C,2 Degree,168 Times,
6965,600589,70B3D500700016FC,1589018164063,hi3,2020-05-09 11:56:04.204275,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3610 mV,22 C,1 Degree,171 Times,
6964,600829,70B3D500700016FC,1589021763874,hi3,2020-05-09 12:56:04.013962,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3610 mV,22 C,1 Degree,172 Times,
6963,601078,70B3D500700016FC,1589025363659,hi3,2020-05-09 13:56:03.793829,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3610 mV,23 C,2 Degree,173 Times,
6962,601323,70B3D500700016FC,1589028963436,hi3,2020-05-09 14:56:03.567778,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3600 mV,18 C,1 Degree,174 Times,
6961,601584,70B3D500700016FC,1589032563207,hi3,2020-05-09 15:56:03.335434,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3590 mV,16 C,3 Degree,175 Times,
6960,601827,70B3D500700016FC,1589036162998,hi3,2020-05-09 16:56:03.128117,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3590 mV,16 C,2 Degree,176 Times,
6959,602091,70B3D500700016FC,1589039762789,hi3,2020-05-09 17:56:02.913466,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3590 mV,16 C,2 Degree,177 Times,
6958,602364,70B3D500700016FC,1589043362560,hi3,2020-05-09 18:56:02.67867,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3590 mV,16 C,2 Degree,178 Times,
6957,602640,70B3D500700016FC,1589046964033,hi3,2020-05-09 19:56:04.206828,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3590 mV,17 C,2 Degree,179 Times,
6956,602901,70B3D500700016FC,1589050563824,hi3,2020-05-09 20:56:03.994993,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3590 mV,16 C,3 Degree,180 Times,
6955,603144,70B3D500700016FC,1589054163595,hi3,2020-05-09 21:56:03.762485,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3590 mV,13 C,2 Degree,181 Times,
6954,603386,70B3D500700016FC,1589057763406,hi3,2020-05-09 22:56:03.569718,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3590 mV,12 C,2 Degree,182 Times,
6953,603642,70B3D500700016FC,1589061363197,hi3,2020-05-09 23:56:03.358149,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3580 mV,14 C,2 Degree,183 Times,
6952,603886,70B3D500700016FC,1589064962988,hi3,2020-05-10 00:56:03.145693,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3580 mV,13 C,3 Degree,184 Times,
6951,604393,70B3D500700016FC,1589072162590,hi3,2020-05-10 02:56:02.741721,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3570 mV,13 C,3 Degree,186 Times,
6950,604659,70B3D500700016FC,1589075766387,hi3,2020-05-10 03:56:06.535084,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3580 mV,13 C,1 Degree,187 Times,
6949,604924,70B3D500700016FC,1589079362193,hi3,2020-05-10 04:56:02.334478,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3580 mV,10 C,1 Degree,188 Times,
6948,605207,70B3D500700016FC,1589082961984,hi3,2020-05-10 05:56:02.122377,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3580 mV,12 C,2 Degree,189 Times,
6947,605469,70B3D500700016FC,1589086561798,hi3,2020-05-10 06:56:01.931337,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3580 mV,11 C,2 Degree,190 Times,
6946,605967,70B3D500700016FC,1589093761377,hi3,2020-05-10 08:56:01.504475,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3590 mV,11 C,2 Degree,192 Times,
6945,606225,70B3D500700016FC,1589097361169,hi3,2020-05-10 09:56:01.292589,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3610 mV,23 C,1 Degree,193 Times,
6944,606477,70B3D500700016FC,1589100960920,hi3,2020-05-10 10:56:01.039223,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3620 mV,24 C,2 Degree,194 Times,
6943,606985,70B3D500700016FC,1589108160342,hi3,2020-05-10 12:56:00.456112,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3630 mV,27 C,3 Degree,196 Times,
6942,607246,70B3D500700016FC,1589111760153,hi3,2020-05-10 13:56:00.262812,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3640 mV,37 C,2 Degree,197 Times,
6941,607500,70B3D500700016FC,1589115359981,hi3,2020-05-10 14:56:00.086291,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3640 mV,41 C,4 Degree,198 Times,
6940,607753,70B3D500700016FC,1589118959775,hi3,2020-05-10 15:55:59.877948,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3640 mV,43 C,3 Degree,199 Times,
6939,608003,70B3D500700016FC,1589122559626,hi3,2020-05-10 16:55:59.724135,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3640 mV,41 C,3 Degree,200 Times,
6938,608258,70B3D500700016FC,1589126159417,hi3,2020-05-10 17:55:59.5132,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3630 mV,30 C,2 Degree,201 Times,
6937,608511,70B3D500700016FC,1589129759188,hi3,2020-05-10 18:55:59.280858,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3610 mV,25 C,2 Degree,202 Times,
6936,608781,70B3D500700016FC,1589133360621,hi3,2020-05-10 19:56:00.816071,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,102 cm,3600 mV,21 C,3 Degree,203 Times,
6935,609041,70B3D500700016FC,1589136960412,hi3,2020-05-10 20:56:00.602145,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,102 cm,3580 mV,17 C,2 Degree,204 Times,
6934,609310,70B3D500700016FC,1589140560183,hi3,2020-05-10 21:56:00.368522,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,102 cm,3570 mV,16 C,2 Degree,205 Times,
6933,609576,70B3D500700016FC,1589144159974,hi3,2020-05-10 22:56:00.154618,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,102 cm,3570 mV,12 C,2 Degree,206 Times,
6932,609825,70B3D500700016FC,1589147759885,hi3,2020-05-10 23:56:00.063668,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,102 cm,3570 mV,12 C,2 Degree,207 Times,
6931,610348,70B3D500700016FC,1589154959487,hi3,2020-05-11 01:55:59.657102,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3570 mV,15 C,1 Degree,209 Times,
6930,610599,70B3D500700016FC,1589158559278,hi3,2020-05-11 02:55:59.444349,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3570 mV,13 C,3 Degree,210 Times,
6929,610870,70B3D500700016FC,1589162159069,hi3,2020-05-11 03:55:59.233201,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3560 mV,12 C,2 Degree,211 Times,
6928,611416,70B3D500700016FC,1589169358691,hi3,2020-05-11 05:55:58.846246,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3550 mV,10 C,2 Degree,213 Times,
6927,611680,70B3D500700016FC,1589172958502,hi3,2020-05-11 06:55:58.654056,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,110 cm,3540 mV,8 C,3 Degree,214 Times,
6926,612218,70B3D500700016FC,1589180158165,hi3,2020-05-11 08:55:58.30787,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,106 cm,3530 mV,7 C,2 Degree,216 Times,
6925,612478,70B3D500700016FC,1589183757996,hi3,2020-05-11 09:55:58.137548,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3530 mV,5 C,2 Degree,217 Times,
6924,612991,70B3D500700016FC,1589190957678,hi3,2020-05-11 11:55:57.811084,"['SS', 'Standalone', 'version_184']",700016fc,SENS_EVENT_MEASURE,104 cm,3530 mV,5 C,2 Degree,219 Times,
