,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
7080,597817,70B3D5007000171F,1588978446348,hi3,2020-05-09 00:54:06.527468,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,90 cm,3570 mV,17 C,0 Degree,136 Times,
7079,598303,70B3D5007000171F,1588985646024,hi3,2020-05-09 02:54:06.197703,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,90 cm,3570 mV,18 C,0 Degree,138 Times,
7078,598549,70B3D5007000171F,1588989245855,hi3,2020-05-09 03:54:06.025118,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,88 cm,3570 mV,16 C,0 Degree,139 Times,
7077,598809,70B3D5007000171F,1588992845707,hi3,2020-05-09 04:54:05.875948,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,90 cm,3570 mV,15 C,1 Degree,140 Times,
7076,599583,70B3D5007000171F,1589003645246,hi3,2020-05-09 07:54:05.400885,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,104 cm,3580 mV,17 C,0 Degree,143 Times,
7075,599823,70B3D5007000171F,1589007245072,hi3,2020-05-09 08:54:05.223811,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,90 cm,3580 mV,16 C,0 Degree,144 Times,
7074,600078,70B3D5007000171F,1589010844902,hi3,2020-05-09 09:54:05.051221,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,110 cm,3590 mV,19 C,0 Degree,145 Times,
7073,600324,70B3D5007000171F,1589014444734,hi3,2020-05-09 10:54:04.880068,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,110 cm,3600 mV,20 C,0 Degree,146 Times,
7072,600571,70B3D5007000171F,1589018044565,hi3,2020-05-09 11:54:04.707027,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,78 cm,3600 mV,19 C,0 Degree,147 Times,
7071,600811,70B3D5007000171F,1589021644406,hi3,2020-05-09 12:54:04.545312,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,78 cm,3600 mV,18 C,0 Degree,148 Times,
7070,601302,70B3D5007000171F,1589028844044,hi3,2020-05-09 14:54:04.177051,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,78 cm,3590 mV,20 C,0 Degree,150 Times,
7069,601567,70B3D5007000171F,1589032443869,hi3,2020-05-09 15:54:03.999319,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3590 mV,18 C,0 Degree,151 Times,
7068,601810,70B3D5007000171F,1589036043706,hi3,2020-05-09 16:54:03.83257,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3590 mV,19 C,0 Degree,152 Times,
7067,602070,70B3D5007000171F,1589039643531,hi3,2020-05-09 17:54:03.653844,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3590 mV,18 C,0 Degree,153 Times,
7066,602344,70B3D5007000171F,1589043243382,hi3,2020-05-09 18:54:03.505073,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3590 mV,18 C,1 Degree,154 Times,
7065,602620,70B3D5007000171F,1589046844911,hi3,2020-05-09 19:54:05.088396,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3590 mV,17 C,1 Degree,155 Times,
7064,602883,70B3D5007000171F,1589050444727,hi3,2020-05-09 20:54:04.898354,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3590 mV,17 C,0 Degree,156 Times,
7063,603126,70B3D5007000171F,1589054044563,hi3,2020-05-09 21:54:04.730069,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3580 mV,17 C,0 Degree,157 Times,
7062,603366,70B3D5007000171F,1589057644409,hi3,2020-05-09 22:54:04.572771,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3580 mV,18 C,1 Degree,158 Times,
7061,603625,70B3D5007000171F,1589061244240,hi3,2020-05-09 23:54:04.400844,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3580 mV,15 C,0 Degree,159 Times,
7060,603872,70B3D5007000171F,1589064844071,hi3,2020-05-10 00:54:04.227522,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,76 cm,3580 mV,16 C,0 Degree,160 Times,
