,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
7554,597682,70B3D5007000172B,1588976264604,hi3,2020-05-09 00:17:44.786185,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,76 cm,3570 mV,11 C,0 Degree,63 Times,
7553,597922,70B3D5007000172B,1588979864475,hi3,2020-05-09 01:17:44.653139,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,74 cm,3570 mV,12 C,1 Degree,64 Times,
7552,598152,70B3D5007000172B,1588983464347,hi3,2020-05-09 02:17:44.522539,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,74 cm,3570 mV,10 C,0 Degree,65 Times,
7551,598415,70B3D5007000172B,1588987064203,hi3,2020-05-09 03:17:44.374791,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,74 cm,3570 mV,9 C,1 Degree,66 Times,
7550,598654,70B3D5007000172B,1588990664068,hi3,2020-05-09 04:17:44.235459,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,76 cm,3570 mV,10 C,0 Degree,67 Times,
7549,599179,70B3D5007000172B,1588997863811,hi3,2020-05-09 06:17:43.972195,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,74 cm,3570 mV,9 C,1 Degree,69 Times,
7548,599434,70B3D5007000172B,1589001463677,hi3,2020-05-09 07:17:43.835661,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,76 cm,3580 mV,11 C,0 Degree,70 Times,
7547,599681,70B3D5007000172B,1589005063547,hi3,2020-05-09 08:17:43.700374,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,76 cm,3590 mV,13 C,1 Degree,71 Times,
7546,599936,70B3D5007000172B,1589008663404,hi3,2020-05-09 09:17:43.554283,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,80 cm,3590 mV,11 C,2 Degree,72 Times,
7545,600174,70B3D5007000172B,1589012263256,hi3,2020-05-09 10:17:43.403175,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,78 cm,3600 mV,15 C,1 Degree,73 Times,
7544,600433,70B3D5007000172B,1589015863106,hi3,2020-05-09 11:17:43.250123,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,76 cm,3620 mV,18 C,0 Degree,74 Times,
7543,600669,70B3D5007000172B,1589019462958,hi3,2020-05-09 12:17:43.098351,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,74 cm,3610 mV,14 C,0 Degree,75 Times,
7542,600910,70B3D5007000172B,1589023062800,hi3,2020-05-09 13:17:42.93867,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,74 cm,3610 mV,18 C,0 Degree,76 Times,
7541,601155,70B3D5007000172B,1589026662645,hi3,2020-05-09 14:17:42.77944,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,78 cm,3610 mV,14 C,1 Degree,77 Times,
7540,601415,70B3D5007000172B,1589030262491,hi3,2020-05-09 15:17:42.621033,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3600 mV,13 C,1 Degree,78 Times,
7539,601668,70B3D5007000172B,1589033862362,hi3,2020-05-09 16:17:42.490242,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,70 cm,3600 mV,11 C,1 Degree,79 Times,
7538,601926,70B3D5007000172B,1589037462213,hi3,2020-05-09 17:17:42.336925,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,70 cm,3600 mV,10 C,0 Degree,80 Times,
