,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
7627,597815,70B3D5007000172E,1588978437142,hi3,2020-05-09 00:53:57.320859,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3590 mV,20 C,4 Degree,255 Times,
7626,598055,70B3D5007000172E,1588982036933,hi3,2020-05-09 01:53:57.11107,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3590 mV,17 C,3 Degree,0 Times,
7625,598301,70B3D5007000172E,1588985636725,hi3,2020-05-09 02:53:56.897946,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3590 mV,15 C,3 Degree,1 Times,
7624,598547,70B3D5007000172E,1588989236536,hi3,2020-05-09 03:53:56.705578,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3580 mV,16 C,3 Degree,2 Times,
7623,599074,70B3D5007000172E,1588996436173,hi3,2020-05-09 05:53:56.334544,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3580 mV,16 C,3 Degree,4 Times,
7622,599326,70B3D5007000172E,1589000035929,hi3,2020-05-09 06:53:56.097822,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3580 mV,14 C,2 Degree,5 Times,
7621,599581,70B3D5007000172E,1589003635740,hi3,2020-05-09 07:53:55.896384,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3580 mV,14 C,2 Degree,6 Times,
7620,599821,70B3D5007000172E,1589007235532,hi3,2020-05-09 08:53:55.684859,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3580 mV,16 C,4 Degree,7 Times,
7619,600076,70B3D5007000172E,1589010835323,hi3,2020-05-09 09:53:55.471528,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3590 mV,19 C,3 Degree,8 Times,
7618,600322,70B3D5007000172E,1589014435134,hi3,2020-05-09 10:53:55.279323,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3600 mV,20 C,2 Degree,9 Times,
7617,600569,70B3D5007000172E,1589018034905,hi3,2020-05-09 11:53:55.047347,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3610 mV,22 C,3 Degree,10 Times,
7616,600809,70B3D5007000172E,1589021634856,hi3,2020-05-09 12:53:54.994357,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,64 cm,3610 mV,20 C,3 Degree,11 Times,
7615,601060,70B3D5007000172E,1589025234487,hi3,2020-05-09 13:53:54.623879,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,76 cm,3610 mV,19 C,4 Degree,12 Times,
7614,601565,70B3D5007000172E,1589032434069,hi3,2020-05-09 15:53:54.197486,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3600 mV,19 C,2 Degree,14 Times,
7613,601808,70B3D5007000172E,1589036033861,hi3,2020-05-09 16:53:53.98742,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3600 mV,17 C,3 Degree,15 Times,
7612,602068,70B3D5007000172E,1589039633652,hi3,2020-05-09 17:53:53.774049,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,80 cm,3600 mV,17 C,3 Degree,16 Times,
7611,602341,70B3D5007000172E,1589043233443,hi3,2020-05-09 18:53:53.563001,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,76 cm,3600 mV,16 C,4 Degree,17 Times,
7610,602617,70B3D5007000172E,1589046834952,hi3,2020-05-09 19:53:55.12654,"['SS', 'Standalone', 'version_184']",7000172e,SENS_EVENT_MEASURE,76 cm,3600 mV,16 C,3 Degree,18 Times,
