,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
5756,598398,70B3D50070001736,1588986465856,hi3,2020-05-09 03:07:46.029339,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,62 cm,3600 mV,14 C,6 Degree,166 Times,
5755,598587,70B3D50070001736,1588989484058,hi3,2020-05-09 03:58:04.230434,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,62 cm,3600 mV,14 C,5 Degree,167 Times,
5754,598853,70B3D50070001736,1588993083819,hi3,2020-05-09 04:58:03.986738,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,62 cm,3610 mV,11 C,4 Degree,168 Times,
5753,599112,70B3D50070001736,1588996683500,hi3,2020-05-09 05:58:03.662555,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,62 cm,3610 mV,10 C,4 Degree,169 Times,
5752,599365,70B3D50070001736,1589000283351,hi3,2020-05-09 06:58:04.248436,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,62 cm,3610 mV,13 C,5 Degree,170 Times,
5751,599615,70B3D50070001736,1589003883253,hi3,2020-05-09 07:58:03.40762,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,62 cm,3620 mV,15 C,5 Degree,171 Times,
5750,599861,70B3D50070001736,1589007483074,hi3,2020-05-09 08:58:03.225176,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,62 cm,3620 mV,15 C,4 Degree,172 Times,
5749,600111,70B3D50070001736,1589011082886,hi3,2020-05-09 09:58:03.034264,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,62 cm,3630 mV,17 C,5 Degree,173 Times,
5748,600360,70B3D50070001736,1589014682546,hi3,2020-05-09 10:58:02.692026,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,124 cm,3630 mV,16 C,6 Degree,174 Times,
5747,600606,70B3D50070001736,1589018282347,hi3,2020-05-09 11:58:02.488038,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,98 cm,3640 mV,17 C,4 Degree,175 Times,
5746,600842,70B3D50070001736,1589021882393,hi3,2020-05-09 12:58:02.530947,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,62 cm,3640 mV,17 C,5 Degree,176 Times,
5745,601339,70B3D50070001736,1589029081842,hi3,2020-05-09 14:58:01.974815,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,124 cm,3630 mV,17 C,5 Degree,178 Times,
5744,601601,70B3D50070001736,1589032681692,hi3,2020-05-09 15:58:01.823296,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,98 cm,3630 mV,15 C,5 Degree,179 Times,
5743,601845,70B3D50070001736,1589036281565,hi3,2020-05-09 16:58:01.691402,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,122 cm,3630 mV,16 C,4 Degree,180 Times,
5742,602107,70B3D50070001736,1589039881516,hi3,2020-05-09 17:58:01.637333,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,60 cm,3630 mV,15 C,4 Degree,181 Times,
5741,602383,70B3D50070001736,1589043481346,hi3,2020-05-09 18:58:01.463695,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,60 cm,3630 mV,15 C,5 Degree,182 Times,
5740,602657,70B3D50070001736,1589047082688,hi3,2020-05-09 19:58:02.862334,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3630 mV,17 C,4 Degree,183 Times,
5739,602915,70B3D50070001736,1589050682560,hi3,2020-05-09 20:58:02.730426,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3630 mV,15 C,5 Degree,184 Times,
5738,603655,70B3D50070001736,1589061482053,hi3,2020-05-09 23:58:02.213024,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3620 mV,13 C,5 Degree,187 Times,
5737,603904,70B3D50070001736,1589065081963,hi3,2020-05-10 00:58:02.12032,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3620 mV,11 C,5 Degree,188 Times,
5736,604153,70B3D50070001736,1589068681707,hi3,2020-05-10 01:58:01.860133,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,98 cm,3620 mV,15 C,4 Degree,189 Times,
5735,604414,70B3D50070001736,1589072281635,hi3,2020-05-10 02:58:01.786673,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,98 cm,3620 mV,13 C,4 Degree,190 Times,
5734,604677,70B3D50070001736,1589075881486,hi3,2020-05-10 03:58:01.632462,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3620 mV,12 C,5 Degree,191 Times,
5733,604947,70B3D50070001736,1589079481327,hi3,2020-05-10 04:58:01.469541,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,98 cm,3620 mV,12 C,5 Degree,192 Times,
5732,605227,70B3D50070001736,1589083081101,hi3,2020-05-10 05:58:01.243098,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,98 cm,3620 mV,11 C,4 Degree,193 Times,
5731,605489,70B3D50070001736,1589086681170,hi3,2020-05-10 06:58:01.33447,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3620 mV,12 C,4 Degree,194 Times,
5730,605740,70B3D50070001736,1589090280191,hi3,2020-05-10 07:58:00.322628,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3620 mV,11 C,4 Degree,195 Times,
5729,605983,70B3D50070001736,1589093879998,hi3,2020-05-10 08:58:00.124864,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3630 mV,14 C,5 Degree,196 Times,
5728,606496,70B3D50070001736,1589101079593,hi3,2020-05-10 10:57:59.712054,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3640 mV,18 C,5 Degree,198 Times,
5727,606754,70B3D50070001736,1589104679571,hi3,2020-05-10 11:57:59.686903,"['SS', 'Standalone', 'version_184']",70001736,SENS_EVENT_MEASURE,96 cm,3640 mV,20 C,4 Degree,199 Times,
