,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
4499,597705,70B3D5007000175A,1588976687832,hi3,2020-05-09 00:24:48.013687,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,64 cm,3610 mV,21 C,1 Degree,117 Times,
4498,597941,70B3D5007000175A,1588980287876,hi3,2020-05-09 01:24:48.054018,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,54 cm,3610 mV,20 C,1 Degree,118 Times,
4497,598175,70B3D5007000175A,1588983887641,hi3,2020-05-09 02:24:47.814323,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,64 cm,3610 mV,18 C,2 Degree,119 Times,
4496,598433,70B3D5007000175A,1588987487424,hi3,2020-05-09 03:24:47.595327,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3610 mV,17 C,1 Degree,120 Times,
4495,598679,70B3D5007000175A,1588991087285,hi3,2020-05-09 04:24:47.455649,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,64 cm,3600 mV,18 C,2 Degree,121 Times,
4494,599202,70B3D5007000175A,1588998286986,hi3,2020-05-09 06:24:47.146998,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3600 mV,17 C,1 Degree,123 Times,
4493,599699,70B3D5007000175A,1589005486713,hi3,2020-05-09 08:24:46.869576,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3620 mV,19 C,2 Degree,125 Times,
4492,599957,70B3D5007000175A,1589009086558,hi3,2020-05-09 09:24:46.707884,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,64 cm,3620 mV,20 C,1 Degree,126 Times,
4491,600197,70B3D5007000175A,1589012686404,hi3,2020-05-09 10:24:46.551826,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,64 cm,3620 mV,23 C,2 Degree,127 Times,
4490,600454,70B3D5007000175A,1589016286233,hi3,2020-05-09 11:24:46.376936,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,64 cm,3630 mV,26 C,2 Degree,128 Times,
4489,600695,70B3D5007000175A,1589019886062,hi3,2020-05-09 12:24:46.202703,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3630 mV,23 C,2 Degree,129 Times,
4488,600929,70B3D5007000175A,1589023486121,hi3,2020-05-09 13:24:46.259239,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3630 mV,27 C,1 Degree,130 Times,
4487,601179,70B3D5007000175A,1589027085962,hi3,2020-05-09 14:24:46.095541,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3640 mV,25 C,2 Degree,131 Times,
4486,601438,70B3D5007000175A,1589030685789,hi3,2020-05-09 15:24:45.91949,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3630 mV,22 C,2 Degree,132 Times,
4485,601690,70B3D5007000175A,1589034285635,hi3,2020-05-09 16:24:45.761435,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,128 cm,3630 mV,20 C,2 Degree,133 Times,
4484,601946,70B3D5007000175A,1589037885480,hi3,2020-05-09 17:24:45.605467,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3630 mV,22 C,1 Degree,134 Times,
4483,602213,70B3D5007000175A,1589041485330,hi3,2020-05-09 18:24:45.450356,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3630 mV,23 C,2 Degree,135 Times,
4482,602487,70B3D5007000175A,1589045085174,hi3,2020-05-09 19:24:47.03229,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3630 mV,21 C,1 Degree,136 Times,
4481,602750,70B3D5007000175A,1589048686684,hi3,2020-05-09 20:24:46.856169,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3630 mV,20 C,2 Degree,137 Times,
4480,603009,70B3D5007000175A,1589052286533,hi3,2020-05-09 21:24:46.706838,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3620 mV,20 C,2 Degree,138 Times,
4479,603243,70B3D5007000175A,1589055885716,hi3,2020-05-09 22:24:45.883502,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3620 mV,21 C,1 Degree,139 Times,
4478,603496,70B3D5007000175A,1589059485501,hi3,2020-05-09 23:24:45.664264,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3620 mV,20 C,1 Degree,140 Times,
4477,603743,70B3D5007000175A,1589063085365,hi3,2020-05-10 00:24:45.526988,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3620 mV,18 C,2 Degree,141 Times,
4476,604003,70B3D5007000175A,1589066685309,hi3,2020-05-10 01:24:45.47053,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3620 mV,18 C,1 Degree,142 Times,
4475,604241,70B3D5007000175A,1589070285172,hi3,2020-05-10 02:24:45.323743,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3620 mV,18 C,2 Degree,143 Times,
4474,604506,70B3D5007000175A,1589073884953,hi3,2020-05-10 03:24:45.100077,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3610 mV,18 C,1 Degree,144 Times,
4473,604769,70B3D5007000175A,1589077484872,hi3,2020-05-10 04:24:45.019914,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3610 mV,18 C,2 Degree,145 Times,
4472,605048,70B3D5007000175A,1589081084700,hi3,2020-05-10 05:24:44.840988,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3610 mV,18 C,1 Degree,146 Times,
4471,605323,70B3D5007000175A,1589084684577,hi3,2020-05-10 06:24:45.291314,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3610 mV,18 C,1 Degree,147 Times,
4470,605584,70B3D5007000175A,1589088284439,hi3,2020-05-10 07:24:44.57238,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3610 mV,18 C,2 Degree,148 Times,
4469,605827,70B3D5007000175A,1589091884304,hi3,2020-05-10 08:24:44.433236,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3620 mV,20 C,2 Degree,149 Times,
4468,606075,70B3D5007000175A,1589095484148,hi3,2020-05-10 09:24:44.273159,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3620 mV,21 C,1 Degree,150 Times,
4467,606332,70B3D5007000175A,1589099083995,hi3,2020-05-10 10:24:44.121445,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,134 cm,3640 mV,30 C,1 Degree,151 Times,
4466,606589,70B3D5007000175A,1589102683346,hi3,2020-05-10 11:24:43.46487,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,134 cm,3650 mV,31 C,1 Degree,152 Times,
4465,606837,70B3D5007000175A,1589106283159,hi3,2020-05-10 12:24:43.273367,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,134 cm,3650 mV,35 C,1 Degree,153 Times,
4464,607100,70B3D5007000175A,1589109882991,hi3,2020-05-10 13:24:43.102724,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,134 cm,3650 mV,35 C,1 Degree,154 Times,
4463,607356,70B3D5007000175A,1589113482826,hi3,2020-05-10 14:24:42.934871,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,138 cm,3650 mV,46 C,2 Degree,155 Times,
4462,607606,70B3D5007000175A,1589117082663,hi3,2020-05-10 15:24:42.768994,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,134 cm,3650 mV,46 C,2 Degree,156 Times,
4461,607864,70B3D5007000175A,1589120682502,hi3,2020-05-10 16:24:42.602528,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3650 mV,37 C,1 Degree,157 Times,
4460,608116,70B3D5007000175A,1589124282319,hi3,2020-05-10 17:24:42.416251,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3650 mV,31 C,1 Degree,158 Times,
4459,608630,70B3D5007000175A,1589131483605,hi3,2020-05-10 19:24:43.798565,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,128 cm,3630 mV,23 C,1 Degree,160 Times,
4458,608887,70B3D5007000175A,1589135083450,hi3,2020-05-10 20:24:43.640466,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3620 mV,20 C,2 Degree,161 Times,
4457,609169,70B3D5007000175A,1589138683297,hi3,2020-05-10 21:24:43.484163,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3620 mV,21 C,2 Degree,162 Times,
4456,609431,70B3D5007000175A,1589142283141,hi3,2020-05-10 22:24:43.323727,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3610 mV,20 C,2 Degree,163 Times,
4455,609693,70B3D5007000175A,1589145883004,hi3,2020-05-10 23:24:43.184448,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3610 mV,19 C,2 Degree,164 Times,
4454,609939,70B3D5007000175A,1589149482892,hi3,2020-05-11 00:24:43.072291,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3610 mV,21 C,1 Degree,165 Times,
4453,610195,70B3D5007000175A,1589153083273,hi3,2020-05-11 01:24:43.445537,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,132 cm,3610 mV,19 C,2 Degree,166 Times,
4452,610454,70B3D5007000175A,1589156683034,hi3,2020-05-11 02:24:43.203734,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3610 mV,18 C,1 Degree,167 Times,
4451,610712,70B3D5007000175A,1589160282898,hi3,2020-05-11 03:24:43.066138,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3610 mV,18 C,2 Degree,168 Times,
4450,610979,70B3D5007000175A,1589163882856,hi3,2020-05-11 04:24:43.019062,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3600 mV,17 C,2 Degree,169 Times,
4449,611256,70B3D5007000175A,1589167482735,hi3,2020-05-11 05:24:42.893269,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3600 mV,16 C,1 Degree,170 Times,
4448,611529,70B3D5007000175A,1589171082532,hi3,2020-05-11 06:24:42.685657,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3590 mV,16 C,2 Degree,171 Times,
4447,611804,70B3D5007000175A,1589174682427,hi3,2020-05-11 07:24:42.577155,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3590 mV,16 C,2 Degree,172 Times,
4446,612065,70B3D5007000175A,1589178282326,hi3,2020-05-11 08:24:42.471358,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3580 mV,14 C,1 Degree,173 Times,
4445,612334,70B3D5007000175A,1589181882234,hi3,2020-05-11 09:24:42.37614,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3580 mV,13 C,1 Degree,174 Times,
4444,612588,70B3D5007000175A,1589185482146,hi3,2020-05-11 10:24:42.286518,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3580 mV,13 C,2 Degree,175 Times,
4443,612840,70B3D5007000175A,1589189082054,hi3,2020-05-11 11:24:42.189506,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3570 mV,13 C,1 Degree,176 Times,
4442,613359,70B3D5007000175A,1589196281881,hi3,2020-05-11 13:24:42.009385,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3580 mV,13 C,2 Degree,178 Times,
4441,613626,70B3D5007000175A,1589199881793,hi3,2020-05-11 14:24:41.918419,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,58 cm,3590 mV,15 C,2 Degree,179 Times,
4440,613899,70B3D5007000175A,1589203481687,hi3,2020-05-11 15:24:41.807153,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3590 mV,16 C,2 Degree,180 Times,
4439,614148,70B3D5007000175A,1589207081600,hi3,2020-05-11 16:24:41.71624,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3590 mV,14 C,3 Degree,181 Times,
4438,614415,70B3D5007000175A,1589210681493,hi3,2020-05-11 17:24:41.605753,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3590 mV,14 C,2 Degree,182 Times,
4437,614674,70B3D5007000175A,1589214281388,hi3,2020-05-11 18:24:41.498274,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3590 mV,13 C,2 Degree,183 Times,
4436,614924,70B3D5007000175A,1589217882905,hi3,2020-05-11 19:24:43.102771,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,64 cm,3600 mV,16 C,1 Degree,184 Times,
4435,615170,70B3D5007000175A,1589221482803,hi3,2020-05-11 20:24:42.996812,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3600 mV,15 C,2 Degree,185 Times,
4434,615415,70B3D5007000175A,1589225082701,hi3,2020-05-11 21:24:42.89076,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3600 mV,14 C,1 Degree,186 Times,
4433,615673,70B3D5007000175A,1589228682597,hi3,2020-05-11 22:24:42.783362,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3590 mV,15 C,1 Degree,187 Times,
4432,615924,70B3D5007000175A,1589232282511,hi3,2020-05-11 23:24:42.693315,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3590 mV,13 C,1 Degree,188 Times,
4431,616179,70B3D5007000175A,1589235882425,hi3,2020-05-12 00:24:42.604328,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3590 mV,13 C,2 Degree,189 Times,
4430,616412,70B3D5007000175A,1589239482359,hi3,2020-05-12 01:24:42.53369,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3580 mV,13 C,1 Degree,190 Times,
4429,616686,70B3D5007000175A,1589243082291,hi3,2020-05-12 02:24:42.462285,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3570 mV,9 C,1 Degree,191 Times,
4428,616950,70B3D5007000175A,1589246682222,hi3,2020-05-12 03:24:42.394265,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3570 mV,11 C,1 Degree,192 Times,
4427,617201,70B3D5007000175A,1589250281695,hi3,2020-05-12 04:24:41.861835,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,62 cm,3570 mV,12 C,2 Degree,193 Times,
4426,617491,70B3D5007000175A,1589253881646,hi3,2020-05-12 05:24:41.805198,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3570 mV,11 C,2 Degree,194 Times,
4425,617785,70B3D5007000175A,1589257481594,hi3,2020-05-12 06:24:41.753601,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3570 mV,10 C,2 Degree,195 Times,
4424,618072,70B3D5007000175A,1589261081529,hi3,2020-05-12 07:24:41.692076,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,60 cm,3570 mV,9 C,1 Degree,196 Times,
4423,618349,70B3D5007000175A,1589264681429,hi3,2020-05-12 08:24:41.57907,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3610 mV,18 C,1 Degree,197 Times,
4422,618607,70B3D5007000175A,1589268281290,hi3,2020-05-12 09:24:41.434787,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,130 cm,3620 mV,25 C,1 Degree,198 Times,
4421,618876,70B3D5007000175A,1589271881116,hi3,2020-05-12 10:24:41.255943,"['SS', 'Standalone', 'version_184']",7000175a,SENS_EVENT_MEASURE,128 cm,3650 mV,34 C,1 Degree,199 Times,
