,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
6897,597788,70B3D500700016FA,1588978301779,hi3,2020-05-09 00:51:41.959556,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,52 cm,3590 mV,21 C,7 Degree,117 Times,
6896,598032,70B3D500700016FA,1588981901622,hi3,2020-05-09 01:51:41.798079,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,50 cm,3590 mV,19 C,7 Degree,118 Times,
6895,598275,70B3D500700016FA,1588985501426,hi3,2020-05-09 02:51:41.599029,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,50 cm,3580 mV,20 C,7 Degree,119 Times,
6894,598526,70B3D500700016FA,1588989101248,hi3,2020-05-09 03:51:41.419327,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,50 cm,3580 mV,18 C,7 Degree,120 Times,
6893,598780,70B3D500700016FA,1588992701069,hi3,2020-05-09 04:51:41.237039,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,50 cm,3580 mV,17 C,7 Degree,121 Times,
6892,599044,70B3D500700016FA,1588996300889,hi3,2020-05-09 05:51:41.056313,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,50 cm,3580 mV,18 C,7 Degree,122 Times,
6891,599300,70B3D500700016FA,1588999900732,hi3,2020-05-09 06:51:40.891995,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,50 cm,3580 mV,18 C,8 Degree,123 Times,
6890,599556,70B3D500700016FA,1589003500723,hi3,2020-05-09 07:51:40.878471,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,50 cm,3590 mV,19 C,8 Degree,124 Times,
6889,599798,70B3D500700016FA,1589007100539,hi3,2020-05-09 08:51:40.689848,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,48 cm,3600 mV,20 C,8 Degree,125 Times,
6888,600057,70B3D500700016FA,1589010700246,hi3,2020-05-09 09:51:40.393924,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,50 cm,3600 mV,21 C,8 Degree,126 Times,
6887,600544,70B3D500700016FA,1589017899940,hi3,2020-05-09 11:51:40.08181,"['SS', 'Standalone', 'version_184']",700016fa,SENS_EVENT_MEASURE,44 cm,3610 mV,23 C,7 Degree,128 Times,
