,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
7551,597781,70B3D5007000171A,1588978247666,hi3,2020-05-09 00:50:47.845481,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,38 cm,3600 mV,20 C,1 Degree,158 Times,
7550,598023,70B3D5007000171A,1588981847457,hi3,2020-05-09 01:50:47.635453,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,38 cm,3590 mV,18 C,1 Degree,159 Times,
7549,598266,70B3D5007000171A,1588985447250,hi3,2020-05-09 02:50:47.424011,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,38 cm,3590 mV,19 C,0 Degree,160 Times,
7548,598516,70B3D5007000171A,1588989047059,hi3,2020-05-09 03:50:47.229162,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,38 cm,3590 mV,18 C,1 Degree,161 Times,
7547,598769,70B3D5007000171A,1588992646850,hi3,2020-05-09 04:50:47.016343,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,38 cm,3580 mV,18 C,0 Degree,162 Times,
7546,599036,70B3D5007000171A,1588996250662,hi3,2020-05-09 05:50:50.829543,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,38 cm,3580 mV,17 C,1 Degree,163 Times,
7545,599546,70B3D5007000171A,1589003446269,hi3,2020-05-09 07:50:46.425207,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,38 cm,3600 mV,19 C,0 Degree,165 Times,
7544,599788,70B3D5007000171A,1589007046055,hi3,2020-05-09 08:50:46.208022,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,42 cm,3600 mV,19 C,0 Degree,166 Times,
7543,600048,70B3D5007000171A,1589010645846,hi3,2020-05-09 09:50:45.994239,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,26 cm,3600 mV,20 C,0 Degree,167 Times,
7542,600534,70B3D5007000171A,1589017845414,hi3,2020-05-09 11:50:45.555244,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,32 cm,3620 mV,25 C,0 Degree,169 Times,
7541,600777,70B3D5007000171A,1589021445200,hi3,2020-05-09 12:50:45.337657,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,34 cm,3620 mV,24 C,0 Degree,170 Times,
7540,601026,70B3D5007000171A,1589025044971,hi3,2020-05-09 13:50:45.105899,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,34 cm,3620 mV,25 C,1 Degree,171 Times,
7539,601266,70B3D5007000171A,1589028644762,hi3,2020-05-09 14:50:44.893433,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,34 cm,3610 mV,24 C,0 Degree,172 Times,
7538,601777,70B3D5007000171A,1589035844344,hi3,2020-05-09 16:50:44.468895,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,32 cm,3610 mV,20 C,0 Degree,174 Times,
7537,602039,70B3D5007000171A,1589039444141,hi3,2020-05-09 17:50:44.267716,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,32 cm,3610 mV,20 C,1 Degree,175 Times,
7536,602307,70B3D5007000171A,1589043043946,hi3,2020-05-09 18:50:44.066728,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,28 cm,3610 mV,23 C,0 Degree,176 Times,
7535,602581,70B3D5007000171A,1589046645399,hi3,2020-05-09 19:50:45.574442,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,28 cm,3610 mV,22 C,0 Degree,177 Times,
7534,602849,70B3D5007000171A,1589050245171,hi3,2020-05-09 20:50:45.341526,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,28 cm,3610 mV,19 C,0 Degree,178 Times,
7533,603090,70B3D5007000171A,1589053844961,hi3,2020-05-09 21:50:45.128317,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,28 cm,3610 mV,18 C,0 Degree,179 Times,
7532,603334,70B3D5007000171A,1589057444772,hi3,2020-05-09 22:50:44.936638,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,28 cm,3600 mV,17 C,0 Degree,180 Times,
7531,603585,70B3D5007000171A,1589061044600,hi3,2020-05-09 23:50:44.761401,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,28 cm,3600 mV,17 C,0 Degree,181 Times,
7530,603833,70B3D5007000171A,1589064644374,hi3,2020-05-10 00:50:44.531267,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,28 cm,3600 mV,17 C,0 Degree,182 Times,
7529,604331,70B3D5007000171A,1589071843977,hi3,2020-05-10 02:50:44.126482,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,28 cm,3600 mV,16 C,1 Degree,184 Times,
7528,604597,70B3D5007000171A,1589075443788,hi3,2020-05-10 03:50:43.934755,"['SS', 'Standalone', 'version_184']",7000171a,SENS_EVENT_MEASURE,28 cm,3600 mV,16 C,0 Degree,185 Times,
