,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
7573,597873,70B3D5007000173E,1588978867034,hi3,2020-05-09 01:01:07.216028,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,96 cm,3610 mV,25 C,3 Degree,170 Times,
7572,598106,70B3D5007000173E,1588982467085,hi3,2020-05-09 02:01:07.264309,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,98 cm,3610 mV,24 C,3 Degree,171 Times,
7571,598360,70B3D5007000173E,1588986078736,hi3,2020-05-09 03:01:18.913175,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,98 cm,3610 mV,22 C,2 Degree,172 Times,
7570,598607,70B3D5007000173E,1588989667468,hi3,2020-05-09 04:01:07.636712,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,98 cm,3610 mV,22 C,2 Degree,173 Times,
7569,598877,70B3D5007000173E,1588993267339,hi3,2020-05-09 05:01:07.504293,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,98 cm,3610 mV,20 C,2 Degree,174 Times,
7568,599136,70B3D5007000173E,1588996867270,hi3,2020-05-09 06:01:07.432028,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,98 cm,3610 mV,22 C,2 Degree,175 Times,
7567,599387,70B3D5007000173E,1589000467001,hi3,2020-05-09 07:01:07.15934,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,98 cm,3610 mV,22 C,2 Degree,176 Times,
7566,600131,70B3D5007000173E,1589011266574,hi3,2020-05-09 10:01:06.727251,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,88 cm,3610 mV,23 C,2 Degree,179 Times,
7565,600624,70B3D5007000173E,1589018465497,hi3,2020-05-09 12:01:05.638729,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,90 cm,3620 mV,27 C,2 Degree,181 Times,
7564,600859,70B3D5007000173E,1589022065348,hi3,2020-05-09 13:01:05.486007,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,84 cm,3620 mV,27 C,2 Degree,182 Times,
7563,601116,70B3D5007000173E,1589025665299,hi3,2020-05-09 14:01:05.434543,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,80 cm,3620 mV,26 C,2 Degree,183 Times,
7562,601362,70B3D5007000173E,1589029265050,hi3,2020-05-09 15:01:05.181557,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,82 cm,3620 mV,25 C,2 Degree,184 Times,
7561,601624,70B3D5007000173E,1589032864901,hi3,2020-05-09 16:01:05.030219,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,84 cm,3620 mV,22 C,2 Degree,185 Times,
7560,601867,70B3D5007000173E,1589036464752,hi3,2020-05-09 17:01:04.87816,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,78 cm,3610 mV,23 C,2 Degree,186 Times,
7559,602129,70B3D5007000173E,1589040064703,hi3,2020-05-09 18:01:04.82511,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,25 C,2 Degree,187 Times,
7558,602680,70B3D5007000173E,1589047266007,hi3,2020-05-09 20:01:06.180346,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,78 cm,3620 mV,26 C,2 Degree,189 Times,
7557,602940,70B3D5007000173E,1589050865859,hi3,2020-05-09 21:01:06.028801,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,78 cm,3620 mV,25 C,3 Degree,190 Times,
7556,603177,70B3D5007000173E,1589054465711,hi3,2020-05-09 22:01:05.878974,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,23 C,2 Degree,191 Times,
7555,603423,70B3D5007000173E,1589058065580,hi3,2020-05-09 23:01:05.746092,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,22 C,2 Degree,192 Times,
7554,603925,70B3D5007000173E,1589065265402,hi3,2020-05-10 01:01:05.559443,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,21 C,2 Degree,194 Times,
7553,604176,70B3D5007000173E,1589068865274,hi3,2020-05-10 02:01:05.435914,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,21 C,3 Degree,195 Times,
7552,604435,70B3D5007000173E,1589072465145,hi3,2020-05-10 03:01:05.30063,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,22 C,2 Degree,196 Times,
7551,604970,70B3D5007000173E,1589079664867,hi3,2020-05-10 05:01:05.012458,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,78 cm,3610 mV,21 C,2 Degree,198 Times,
7550,605250,70B3D5007000173E,1589083264818,hi3,2020-05-10 06:01:06.208611,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,18 C,2 Degree,199 Times,
7549,605512,70B3D5007000173E,1589086864609,hi3,2020-05-10 07:01:04.744274,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,23 C,2 Degree,200 Times,
7548,605757,70B3D5007000173E,1589090464480,hi3,2020-05-10 08:01:04.611691,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,21 C,3 Degree,201 Times,
7547,606007,70B3D5007000173E,1589094064352,hi3,2020-05-10 09:01:04.478198,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3610 mV,21 C,2 Degree,202 Times,
7546,606513,70B3D5007000173E,1589101263914,hi3,2020-05-10 11:01:04.033728,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3620 mV,28 C,2 Degree,204 Times,
7545,606775,70B3D5007000173E,1589104863745,hi3,2020-05-10 12:01:03.862243,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,76 cm,3620 mV,28 C,2 Degree,205 Times,
7544,607021,70B3D5007000173E,1589108463596,hi3,2020-05-10 13:01:03.710872,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,72 cm,3620 mV,29 C,3 Degree,206 Times,
