,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
6953,597684,70B3D5007000174F,1588976314483,hi3,2020-05-09 00:18:34.66483,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,90 cm,3590 mV,19 C,1 Degree,131 Times,
6952,598154,70B3D5007000174F,1588983514065,hi3,2020-05-09 02:18:34.240928,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,90 cm,3580 mV,20 C,1 Degree,133 Times,
6951,598656,70B3D5007000174F,1588990713647,hi3,2020-05-09 04:18:33.81591,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,90 cm,3570 mV,17 C,1 Degree,135 Times,
6950,598931,70B3D5007000174F,1588994313439,hi3,2020-05-09 05:18:33.605706,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,92 cm,3570 mV,17 C,1 Degree,136 Times,
6949,599181,70B3D5007000174F,1588997913250,hi3,2020-05-09 06:18:33.410618,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,90 cm,3570 mV,14 C,1 Degree,137 Times,
6948,599436,70B3D5007000174F,1589001513041,hi3,2020-05-09 07:18:33.19788,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,92 cm,3580 mV,16 C,1 Degree,138 Times,
6947,600176,70B3D5007000174F,1589012312274,hi3,2020-05-09 10:18:32.422439,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,88 cm,3590 mV,22 C,0 Degree,141 Times,
6946,600435,70B3D5007000174F,1589015912066,hi3,2020-05-09 11:18:32.210013,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,88 cm,3610 mV,23 C,1 Degree,142 Times,
6945,600912,70B3D5007000174F,1589023111768,hi3,2020-05-09 13:18:31.905132,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,92 cm,3600 mV,22 C,0 Degree,144 Times,
6944,601158,70B3D5007000174F,1589026711399,hi3,2020-05-09 14:18:31.536163,"['SS', 'Standalone', 'version_184']",7000174f,SENS_EVENT_MEASURE,86 cm,3600 mV,19 C,1 Degree,145 Times,
