date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-05-08,17.5,8.2,24.8,0,0,112,7.2,27.7,1018,616
2020-05-09,15.7,12.5,17.4,0.6,0,60,11.5,25.2,1013.5,10
2020-05-10,16.8,11.7,24.9,2.9,0,129,8.6,63,1006.5,308
2020-05-11,7.2,1.9,15.5,9,0,56,23.8,61.2,1009.2,38
2020-05-12,7.9,1,14.2,0,0,130,8.3,24.1,1018.7,736
2020-05-13,10.4,2,15.3,0,0,75,11.9,44.3,1013,479
2020-05-14,11.1,6.2,15.9,0,0,52,23,42.5,1017.3,733
2020-05-15,12.8,7.3,18,0,0,32,16.2,46.8,1019.8,790
2020-05-16,13.3,4,20.2,0,0,125,8.3,27.7,1022.9,831
2020-05-17,13.9,5,20,0,0,285,9,35.6,1024,825
2020-05-18,16.1,4.7,24.9,0,0,220,7.9,31,1023.9,869
2020-05-19,18.6,8.3,25.8,0,0,269,9.7,41.4,1021.8,872
2020-05-20,19.3,12,24.9,0,0,110,10.4,36.4,1021.7,581
2020-05-21,19.4,13.1,26.3,0,0,86,9.4,27.7,1022.3,879
2020-05-22,19.8,11.7,25.7,1.2,0,202,10.4,40.7,1020.6,151
2020-05-23,13.9,8.7,17.6,1.1,0,258,15.1,42.1,1025.7,49
2020-05-24,13.6,7.7,19.1,0,0,235,16.6,43.9,1030.9,313
2020-05-25,16.4,11.8,21.7,0,0,292,16.9,48.2,1032.9,424
2020-05-26,15,6.5,21.2,0,0,84,11.5,37.8,1035.2,702
2020-05-27,16.9,8.4,24.4,0,0,123,7.6,24.1,1033.2,836
2020-05-28,17.9,13.4,22.4,0,0,42,22.7,51.1,1030.4,867
2020-05-29,17.2,9.1,23.2,0,0,44,15.8,40.7,1026.9,863
2020-05-30,17.7,11.9,22.2,0,0,52,22.7,55.4,1023.4,881
2020-05-31,17.3,11.9,22.8,0,0,42,17.3,40.7,1022.2,765
2020-06-01,20.1,10.9,26.9,0,0,63,13.7,38.9,1021.3,906
2020-06-02,21.7,14.5,28.6,0,0,81,9.7,31.3,1016.5,862
2020-06-03,19.8,11.7,28.3,0.3,0,194,8.3,40.7,1005.3,445
2020-06-04,14.9,10.7,17.8,18.9,0,257,9,38.9,997.5,8
2020-06-05,12,7.1,16.3,4.8,0,221,17.6,55.4,999.5,36
2020-06-06,12.7,6.8,18.3,0.2,0,210,15.1,53.6,1004.1,313
2020-06-07,14.7,8.9,19.7,0,0,244,11.2,35.3,1009.5,475
2020-06-08,14.8,7.2,22.4,0,0,168,7.9,29.2,1014.4,424
2020-06-09,15.8,10.3,20.1,0.2,0,87,12.2,31.3,1016.4,69
2020-06-10,16.2,13.6,19.6,1.5,0,48,15.5,31.3,1014.8,124
2020-06-11,15.8,12.7,19.3,0,0,59,9.4,22.3,1011.3,4
2020-06-12,21.2,12.3,29.2,0,0,71,14.4,44.3,1007.8,861
2020-06-13,22.6,16.7,28.5,10.3,0,235,13.3,40.7,1010.6,532
2020-06-14,18.9,14.6,21.6,0.2,0,266,13.7,35.6,1014.4,75
2020-06-15,18.3,15.7,20.5,1.8,0,237,7.9,29.5,1017.7,0
2020-06-16,17.6,14.9,20.3,1.2,0,180,5.8,26.6,1016.8,127
2020-06-17,18.1,13.4,25,1.8,0,135,10.4,46.4,1012.2,395
2020-06-18,18,12.6,24.4,0,0,223,10.8,27.7,1013.5,547
