date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-05-08,17.7,10.3,24.6,0,,,,,,
2020-05-09,15.2,13.1,18,3.3,,,,,,
2020-05-10,16.8,12,24.9,1.3,,,,,,
2020-05-11,7.1,3.9,15,9.1,,,,,,
2020-05-12,8.4,2.1,14.7,0,,,,,,
2020-05-13,10.6,4.4,16.1,0,,,,,,
2020-05-14,10.7,5.6,16.2,0,,,,,,
2020-05-15,12.1,6.5,18,0,,,,,,
2020-05-16,13.4,5.9,20.3,0,,,,,,
2020-05-17,14.6,9,20.2,0,,,,,,
2020-05-18,17.2,8.7,24.4,0,,,,,,
2020-05-19,19.5,11.5,26,0,,,,,,
2020-05-20,19.7,14.3,24.7,0,,,,,,
2020-05-21,19.5,12.3,26.3,0,,,,,,
2020-05-22,20.6,15.1,25.1,1.9,,,,,,
2020-05-23,14.2,10.7,16.8,1.4,,,,,,
2020-05-24,13.8,9.1,18.4,0,,,,,,
2020-05-25,16.5,11.6,21.5,0,,,,,,
2020-05-26,15.3,9.6,20.8,0,,,,,,
2020-05-27,17.5,9,24.4,0,,,,,,
2020-05-28,17.4,12,22.3,0,,,,,,
2020-05-29,16.8,10,23.2,0,,,,,,
2020-05-30,16.9,11.1,21.9,0,,,,,,
2020-05-31,16.8,10.9,21.9,0,,,,,,
2020-06-01,19.8,11.5,26.8,0,,,,,,
2020-06-02,21.5,14.1,28.1,0,,,,,,
2020-06-03,20.7,15.1,28.7,0.2,,,,,,
2020-06-04,15.4,11.6,18.2,11.5,,,,,,
2020-06-05,12.2,9.5,15.8,4.6,,,,,,
2020-06-06,13.2,8.8,18.1,1.6,,,,,,
2020-06-07,15.1,11.3,19.2,0,,,,,,
2020-06-08,15.6,8.8,22.5,0,,,,,,
2020-06-09,15.8,12,20.1,0.1,,,,,,
2020-06-10,15.7,13.5,19.3,2.5,,,,,,
2020-06-11,15.7,13.3,19,0.1,,,,,,
2020-06-12,21.3,12.5,28.8,0,,,,,,
2020-06-13,22.5,17,29,14.1,,,,,,
2020-06-14,19.2,15.6,22.4,0,,,,,,
2020-06-15,18.5,16.8,21.3,1,,,,,,
2020-06-16,17.8,15.9,20.2,2,,,,,,
2020-06-17,18.7,14.6,26.5,2.8,,,,,,
2020-06-18,18.6,14.5,24.1,0,,,,,,
2020-06-19,19.2,14.1,24.6,1.2,,,,,,
2020-06-20,20.1,15,24.9,0,,,,,,
2020-06-21,20.8,13.6,26.8,0,,,,,,
2020-06-22,20.9,17.1,26,0,,,,,,
2020-06-23,21.7,14.9,27.6,0,,,,,,
2020-06-24,22.6,15.4,28.9,0,,,,,,
2020-06-25,22.3,16.8,27.2,0,,,,,,
